Vault Name,Block Number,Vault Asset,Price per Share,Total Assets in Vault,Total Shares of Vault
DAI yVault,40948184,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x637eC617c86D24E421328e6CAEa1d92114892439,1075599582511349906,12942654062083940693008134,12032966795938085673937511
WFTM yVault,40948184,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x0DEC85e74A92c52b7F708c4B10207D9560CEFaf0,1931550365947693976,29827740108764591809968302,15442382779457028897019972
USDC yVault,40948184,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xEF0210eB96c7EB36AF8ed1c20306462764935607,1041906,5104595141198,4899283839468
Curve Geist Pool yVault,40948184,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0xF137D22d7B23eeB1950B3e19d1f578c053ed9715,1008491536342412956,4484655908401331596492356,4446894938420838816773252
WETH yVault,40948184,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xCe2Fc0bDc18BD6a4d9A725791A3DEe33F3a23BB7,1008927248238676862,1661800753593454563435,1647096712369027710016
USDT yVault,40948184,0x049d68029688eAbF473097a2fC38ef61633A3C7A,0x148c05caf1Bb09B5670f00D511718f733C54bC4c,1023366,1354473192499,1323546348347
YFI yVault,40948184,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x2C850cceD00ce2b14AA9D658b7Cad5dF659493Db,1044987636000704054,211322705457518778511,202225077290174178750
BOO yVault,40948184,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,0x0fBbf9848D969776a5Eb842EdAfAf29ef4467698,1248462041515068195,211480056866267335821767,169392460350357313744058
MIM yVault,40948184,0x82f0B8B456c1A451378467398982d4834b6829c1,0x0A0b23D9786963DE69CB2447dC125c49929419d8,1059392044192727076,362971056376336768967611,342622033425714707613229
Curve Tricrypto Pool yVault,40948184,0x58e57cA18B7A47112b877E31929798Cd3D703b0f,0xCbCaF8cB8cbeAFA927ECEE0c5C56560F83E9B7D9,1035529627574483609,411871989466848122402,397740420456702944831
LINK yVault,40948184,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,0xf2d323621785A066E64282d2B407eAc79cC04966,1008608351106991432,30478306663315396743029,30218177977471763561591
FRAX yVault,40948184,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,1019438566827833559,207465508404327447349285,203509573950977436772498
fBEETS yVault,40948184,0xfcef8a994209d6916EB2C86cDD2AFD60Aa6F54b1,0x1e2fe8074a5ce1Bb7394856B0C618E75D823B93b,1113485764096798309,1276579289834248808831014,1146471136853503895431740
Curve MIM Pool Vault,40948184,0x2dd7C9371965472E5A5fD28fbE165007c61439E1,0xA97E7dA01C7047D6a65f894c99bE8c832227a8BC,1010122982290004677,1282715575086287679499,1269860796730216468543
