Vault Name,Block Number,Vault Asset,Price per Share,Total Assets in Vault,Total Shares of Vault
DAI yVault,40862836,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x637eC617c86D24E421328e6CAEa1d92114892439,1075599582511349906,13012747677089103206850098,12098133811754050695767779
WFTM yVault,40862836,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x0DEC85e74A92c52b7F708c4B10207D9560CEFaf0,1931396337482998735,29218050101855303118590153,15127941135029980479656468
USDC yVault,40862836,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xEF0210eB96c7EB36AF8ed1c20306462764935607,1041904,5386059678706,5169435931552
Curve Geist Pool yVault,40862836,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0xF137D22d7B23eeB1950B3e19d1f578c053ed9715,1008491536342412956,4484655908401331596492356,4446894938420838816773252
WETH yVault,40862836,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xCe2Fc0bDc18BD6a4d9A725791A3DEe33F3a23BB7,1008857016534660059,1670177309970206881232,1655514391630170769260
USDT yVault,40862836,0x049d68029688eAbF473097a2fC38ef61633A3C7A,0x148c05caf1Bb09B5670f00D511718f733C54bC4c,1023366,1509692656374,1475221668133
YFI yVault,40862836,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x2C850cceD00ce2b14AA9D658b7Cad5dF659493Db,1044987636000704054,211423643276191876419,202321669647055451859
BOO yVault,40862836,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,0x0fBbf9848D969776a5Eb842EdAfAf29ef4467698,1246706121187093677,214095966245767417914114,171666537971481602652988
MIM yVault,40862836,0x82f0B8B456c1A451378467398982d4834b6829c1,0x0A0b23D9786963DE69CB2447dC125c49929419d8,1059330619735132325,366416446320060361123217,345894321842293755191276
Curve Tricrypto Pool yVault,40862836,0x58e57cA18B7A47112b877E31929798Cd3D703b0f,0xCbCaF8cB8cbeAFA927ECEE0c5C56560F83E9B7D9,1035237353649102674,422014611754739367969,407650100981366538232
LINK yVault,40862836,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,0xf2d323621785A066E64282d2B407eAc79cC04966,1008608351106991432,25369443284510163522232,25152918133848583195570
FRAX yVault,40862836,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,1019438566827833559,207465508404327447349285,203509573950977436772498
fBEETS yVault,40862836,0xfcef8a994209d6916EB2C86cDD2AFD60Aa6F54b1,0x1e2fe8074a5ce1Bb7394856B0C618E75D823B93b,1112617523931043032,1790772149405517269434458,1609512802816958320145236
Curve MIM Pool Vault,40862836,0x2dd7C9371965472E5A5fD28fbE165007c61439E1,0xA97E7dA01C7047D6a65f894c99bE8c832227a8BC,1009960996905620277,1282370730917375019538,1269723023806246179267
